training,kpi_performance,boss_survey,city_size,years_since_promotion,job_satisfaction,half_day_leaves,team_size,rank,age,salary,gender,exit
2,.79878259,.64802808,4.3000002,3,.62856364,4,5,1,34,34.292099,0,0
3,.62357867,.90820402,2.2,4,.93799555,6,6,3,37,51.514519,1,0
4,.73678368,.82886678,6.0999999,4,.68314803,6,7,4,36,56.776749,1,0
4,.84419209,.41378582,2.2,3,.64811373,4,8,2,39,38.86528,1,0
3,.829781,.84207523,.89999998,3,.64349359,3,8,3,40,52.925575,1,0
3,.89923358,.6615361,.89999998,3,.25225335,4,9,1,36,40.791374,1,0
2,.70820332,.4672727,9.3999996,5,.19884339,5,9,1,35,35.249481,0,0
2,.79719836,.31306776,4.3000002,4,.30826753,2,11,3,39,32.161102,0,0
3,.37731758,.22369042,4.3000002,5,.80310643,6,5,1,40,33.767029,0,0
3,.7110675,.57253456,4.3000002,4,.75951022,4,7,3,37,45.184891,1,1
3,.73754013,.61850595,.89999998,4,1.0111336,5,5,2,35,52.336205,1,0
3,.80180848,.44490558,.89999998,4,.57512516,3,6,4,52,44.915825,1,0
3,.68094957,.01039443,9.3999996,3,.16801301,6,10,3,47,34.560837,0,1
2,.67103106,.8437289,2.2,4,.81453955,5,4,2,41,50.594604,1,0
3,.63185763,.43108898,.89999998,4,.69329387,5,8,4,49,54.850128,1,1
3,.81213284,.27732357,4.3000002,3,.38181096,5,7,2,44,38.80365,0,0
2,.56181377,.41570017,6.0999999,4,.46285439,5,7,1,34,32.64856,1,0
3,.76683253,.36944246,9.3999996,2,.44810665,4,11,2,27,36.742767,1,0
2,.75199926,.52561927,9.3999996,4,.25880298,6,8,2,49,48.145157,1,0
3,.62373525,.38287434,6.0999999,5,.59644705,5,9,1,34,33.661575,0,0
2,.58891129,.40386063,.89999998,4,.54932076,4,7,1,39,27.889145,0,0
3,.75303346,.58590734,9.3999996,3,.83234143,6,6,3,44,57.433739,1,0
3,.65148312,.41843799,9.3999996,3,.68653977,5,9,3,43,42.428558,0,0
2,.73094708,.90466797,2.2,3,.72027326,5,6,2,42,46.153259,1,0
3,.68199152,.75762635,2.2,3,1.1757005,3,3,3,39,42.830978,1,0
4,.6081472,.30297408,6.0999999,4,.7055639,6,7,4,46,44.188362,1,0
2,.68728369,.51406497,6.0999999,4,.52499217,4,8,1,34,32.550232,0,0
3,.56361783,.17468448,9.3999996,3,.6635744,6,8,4,50,42.066895,1,1
3,.6889894,.49961784,2.2,4,.77616674,4,5,3,48,38.641991,1,0
2,.6930601,.35742411,4.3000002,4,.59659386,4,7,1,35,31.94458,0,0
2,.7911706,.56734842,9.3999996,3,.69537866,3,10,4,42,41.409363,1,0
3,.68287563,.40587157,.89999998,4,.52832311,5,9,1,37,46.521782,1,0
3,.73476732,.45619991,9.3999996,4,.48208186,7,6,1,34,37.583565,1,1
2,.9793756,.41774583,9.3999996,3,.33050054,4,8,1,34,37.231255,1,1
3,.65273249,.78660131,.89999998,2,1.0169234,2,6,2,39,39.828491,0,0
3,.64656252,.31028271,6.0999999,3,.72726625,5,8,2,33,44.749573,1,1
2,.73589718,.43473917,6.0999999,4,.58726728,4,7,2,41,41.297745,1,0
3,.77701735,.51360708,2.2,5,.61859375,3,5,1,39,44.413292,1,0
3,.70126563,.54015476,6.0999999,3,.58144093,4,6,2,40,40.845863,1,0
3,.61940944,.21563573,2.2,3,.50415492,4,10,1,32,33.574097,0,1
2,.72698766,.5971576,6.0999999,5,.52452773,3,5,2,37,37.260117,1,0
2,.76921332,.56112933,6.0999999,3,.4881919,4,7,1,35,37.869781,0,0
2,.56929487,.53041124,9.3999996,5,.71960527,5,6,1,32,35.994644,0,0
2,.6188634,.58753312,6.0999999,4,.80376971,4,4,1,35,33.907257,0,0
2,.78332514,.93428731,2.2,4,.65483445,4,7,1,37,37.315132,0,0
2,.64848989,.37279263,2.2,4,.59619075,5,5,1,35,39.913765,1,0
2,.84283268,.86825824,4.3000002,4,.75861108,3,6,2,37,39.296066,0,0
3,.84331042,.78737736,2.2,3,.60536236,4,7,3,45,53.440994,1,0
2,.77613509,.57901156,9.3999996,4,.37468421,4,8,3,43,44.921791,1,0
3,.59275568,.43336013,2.2,4,.5594942,6,11,2,38,40.775131,1,1
2,.72186941,.39641708,9.3999996,3,.67383987,5,9,4,48,45.71637,1,0
2,.6370526,.75753677,4.3000002,4,.61585176,3,5,1,30,31.63559,0,0
3,.47857744,.55877727,2.2,5,.74015796,5,8,1,30,29.474014,0,0
3,.67531335,1.0611398,4.3000002,4,1.0202413,4,4,3,41,51.851524,1,0
3,.70957583,.37152457,9.3999996,4,.61485893,6,5,3,43,36.513657,1,0
3,.64060426,.44129786,6.0999999,4,.33896288,6,9,1,33,39.355164,0,0
3,.76258141,.66967183,4.3000002,4,.58209085,4,7,1,34,37.468605,0,0
3,.65215892,.31638637,9.3999996,4,.40775365,6,8,3,30,39.921692,1,1
2,.74102986,.38521424,.89999998,5,.3088527,3,9,2,39,40.817154,1,0
3,.59625864,.55722529,4.3000002,3,.85637283,5,4,1,34,46.14241,1,0
3,.88242722,.58791053,4.3000002,3,.53292626,4,4,1,36,35.428528,1,0
2,.61129338,.20369463,4.3000002,4,.33286992,8,9,1,31,33.091934,0,1
2,.67337906,.31273121,9.3999996,4,.3567608,3,10,4,44,38.662056,1,0
3,.79441988,.77846426,9.3999996,3,.59421128,4,6,1,38,36.001144,0,0
4,.67125183,.70812333,2.2,3,.73632807,4,7,1,37,34.061707,0,0
2,.76360607,.77650201,9.3999996,4,.59541434,6,6,1,37,43.259804,1,0
2,.90160179,.36348709,4.3000002,4,.48892915,2,5,1,37,39.464737,1,0
2,.68633634,.68536609,2.2,4,.68571758,3,6,1,28,33.165573,0,0
3,.77105284,.53778952,4.3000002,4,.81002736,5,6,3,40,49.336601,1,0
3,.74511749,.50297225,.89999998,4,.58258086,4,9,1,35,33.01416,0,0
2,.76170003,.4697651,2.2,4,.46900472,3,8,4,43,43.83831,1,0
3,.68517166,.41436321,9.3999996,3,.37381464,5,9,1,35,37.849915,0,0
3,.86326051,.73193055,2.2,2,.74973327,1,5,3,41,51.047188,1,0
3,.91783154,.39433879,4.3000002,3,.47818166,3,6,1,30,41.74276,1,0
2,.84177351,.39641845,9.3999996,4,.2339545,5,6,1,32,34.165344,1,0
2,.63436961,.43865919,9.3999996,4,.84036058,3,4,1,35,30.287338,0,0
3,.62124324,.55670875,.89999998,3,.65023816,6,8,3,40,43.424194,1,0
3,.62614077,.43003288,2.2,3,.74781257,5,5,1,38,37.192741,0,1
2,.92252076,.77054757,6.0999999,4,.27270624,3,6,1,33,43.444305,1,0
2,.62872511,.5427717,6.0999999,6,.54291785,5,6,1,39,37.494843,1,1
3,.74297702,.31333137,4.3000002,2,.70224047,5,7,1,35,37.529922,1,1
3,.89899784,.54571491,9.3999996,2,.55857772,6,5,3,35,61.911369,1,0
3,.63141626,.42257699,2.2,4,.48828578,4,10,1,33,37.311592,1,0
2,.89604408,.31090266,2.2,4,.50264907,3,6,2,36,44.0756,1,0
2,.65302956,.5346902,4.3000002,3,.44860339,6,10,1,36,33.376892,1,0
3,.5266788,.78784734,4.3000002,4,.89655024,5,6,3,41,41.370621,1,0
3,.85257626,.80562294,2.2,2,.95330811,1,4,3,43,44.701935,1,0
3,.66593814,.53716195,9.3999996,3,.43630674,6,9,1,38,29.783035,0,0
2,.81994867,.79481512,9.3999996,3,.58369076,4,11,1,32,40.100899,1,0
3,.61354464,.48793235,.89999998,4,.82054335,3,5,3,38,39.45623,1,0
2,.77693456,.64198214,2.2,2,.70994848,4,8,2,41,41.029411,1,0
2,.89475733,.25961468,6.0999999,4,.14627171,5,8,2,36,44.618469,1,1
3,.80441374,.49783775,6.0999999,2,.69195879,4,7,2,35,36.602875,1,0
3,.7759974,.37601557,2.2,4,.53173751,4,9,1,33,28.905823,0,0
3,.84130168,.35453978,6.0999999,4,.53542203,7,7,1,46,36.507187,0,0
2,.79632944,.63391888,9.3999996,4,.56272912,6,7,1,35,53.33046,1,0
2,.46842462,.15085013,9.3999996,3,.69487125,6,8,2,41,38.283768,1,1
3,.6508581,.83426034,9.3999996,3,.88286483,3,7,3,51,40.656494,1,0
2,.75783467,.56108111,2.2,4,.64948601,3,5,2,36,35.889572,0,0
2,.85797751,.53977501,6.0999999,3,.57787311,4,5,2,38,51.207672,1,0
3,.57266206,.65599626,9.3999996,5,.43423831,8,7,1,32,38.165215,1,0
3,.8259021,.78340971,2.2,2,.88115072,3,3,1,42,39.010208,1,0
3,.54542148,.55707586,6.0999999,4,.77159381,5,4,1,30,26.233154,0,0
2,.68618953,.24335411,4.3000002,5,.30089408,6,9,1,37,39.202263,1,0
3,.77034062,.11692081,9.3999996,3,.34412572,4,8,1,34,33.141357,1,0
2,.75316352,.32000148,4.3000002,4,.39229354,4,8,2,41,48.914742,1,0
3,.84187627,.64826876,9.3999996,4,.74312544,3,4,1,41,38.344063,0,0
3,.69622171,.41070792,9.3999996,4,.68541574,3,3,1,35,30.225067,0,0
4,.69131881,.64901465,2.2,2,1.0610644,3,6,1,40,32.079636,0,0
2,.71308839,.45858315,9.3999996,3,.42791092,6,9,1,41,36.297531,0,0
3,.69687885,.53952414,6.0999999,3,.65983593,7,6,2,41,42.270111,1,1
3,.6293804,.40085983,2.2,4,.65230793,5,6,1,34,38.860756,0,1
3,.6864273,.78834957,.89999998,4,.85875648,3,7,1,34,31.965576,1,0
2,.82402736,.55862665,2.2,3,.5075323,4,6,1,34,39.297653,0,0
3,.73939252,.46271247,6.0999999,3,.64110231,6,6,3,38,47.145569,1,0
2,.50447279,.53501415,.89999998,5,.87144065,4,9,1,37,36.828476,0,0
3,.68980414,.48192781,6.0999999,3,.50646383,5,6,1,34,38.210159,1,0
3,.58686477,.52956086,4.3000002,4,.7901063,5,6,4,46,35.484238,1,0
2,.78104991,.59683335,9.3999996,3,.50437248,5,8,5,47,57.834564,1,0
3,.73673946,.43069151,4.3000002,4,.75304914,3,5,3,47,46.397041,1,0
2,.76067096,.68138665,9.3999996,4,.38068324,6,11,2,44,47.745888,0,0
2,.79079109,.53413296,6.0999999,3,.37041053,4,10,2,40,40.018867,1,0
3,.64196479,.5351184,9.3999996,5,.48990431,5,8,4,43,42.193817,1,0
3,.6015473,.41621563,4.3000002,3,.80890548,4,6,4,46,34.241638,1,0
2,.59839976,.68711466,.89999998,4,.8185364,6,9,1,38,45.763229,1,0
3,.67530334,.51831365,4.3000002,3,.58996344,3,6,1,36,28.41716,0,0
3,.79205775,.52041036,6.0999999,3,.60336804,4,6,1,31,29.60379,0,0
3,.77940106,.11797397,4.3000002,4,.27238169,5,7,1,37,33.219376,0,1
2,.70803642,.40522811,6.0999999,5,.39481914,4,9,1,37,37.618034,0,0
2,.59601659,.52812809,2.2,3,.46154383,7,10,1,33,41.397408,1,0
2,.73833418,.054158688,4.3000002,3,.37976676,5,10,4,45,45.277428,1,1
3,.59246129,.47681352,2.2,4,.84616876,4,6,1,40,33.166931,1,0
3,.81433094,.70296365,9.3999996,4,.70157361,3,4,4,50,39.623283,1,0
4,.80794388,.4410547,4.3000002,3,.40137908,4,8,2,44,37.850677,0,0
2,.8046723,.71581334,2.2,3,.51352274,4,6,4,40,53.108078,1,0
3,.72870934,.71570718,6.0999999,3,.84659857,4,4,2,33,50.734032,1,0
3,.55099255,.61356425,.89999998,4,.72268844,4,6,1,34,27.276932,0,0
3,.5364958,.3410767,6.0999999,3,.6420294,6,9,3,43,37.361389,1,0
3,.71294117,.62121618,6.0999999,3,.57586867,6,6,1,36,35.294434,0,0
3,.74517316,.57348698,6.0999999,4,.70426661,5,4,2,39,44.971458,1,0
3,.89185703,.53291708,6.0999999,3,.47454554,3,4,1,34,44.01635,1,0
4,.8298673,.50057399,6.0999999,3,.62420529,4,4,1,36,33.993118,1,0
3,.92712557,.54298359,9.3999996,2,.64802325,4,8,2,34,49.767616,1,0
3,.87763768,.73238504,4.3000002,3,.45684755,4,7,2,37,42.25322,1,0
3,.68490803,.28984928,6.0999999,3,.8131417,5,2,2,40,35.086853,0,0
2,.85376394,.72101384,9.3999996,3,.40803331,2,7,1,42,37.415993,0,0
2,.70641738,.88034117,.89999998,3,.70480019,3,5,2,41,41.858459,1,0
3,.6858409,.56795448,9.3999996,3,.66354245,6,6,1,36,28.530212,0,0
2,.77423573,.39468986,6.0999999,4,.34428018,6,8,1,34,34.80191,0,0
2,.91604084,.63798308,4.3000002,3,.56221455,4,4,3,37,48.729767,1,0
3,.66714615,.7592907,4.3000002,4,.83740968,5,7,1,40,34.154373,0,0
2,.66004449,.46007285,9.3999996,3,.50136846,5,8,3,43,36.496887,1,0
3,.66190326,.41343477,9.3999996,4,.30734742,5,10,3,36,35.393738,1,0
2,.65831208,.54143238,6.0999999,4,.70158887,4,7,2,38,37.664574,0,0
2,.83814025,.80956173,6.0999999,2,.67177749,4,6,2,37,41.703033,1,0
3,.70384151,.67163402,4.3000002,4,.78272259,5,4,1,26,41.721397,1,0
3,.5803048,.22503872,9.3999996,5,.41734537,4,7,1,36,31.880203,0,0
3,.70527631,.69228458,9.3999996,4,.77709126,5,5,2,34,36.851501,1,0
3,.70243222,.22049475,6.0999999,4,.34601355,5,8,3,45,42.870178,1,0
3,.74761873,.38790816,2.2,4,.33349222,5,10,1,34,36.868851,0,1
3,.95242345,.69058168,2.2,3,.58970422,2,7,1,39,43.261116,1,0
2,.7214275,.87785614,6.0999999,3,.71798956,4,8,1,44,36.073975,0,0
3,.78370583,.53732634,4.3000002,4,.56681538,4,4,1,33,34.390869,0,0
3,.79341,.64656812,.89999998,3,.58124959,3,7,3,47,49.021469,1,0
2,.70265383,.3566336,6.0999999,5,.47832587,6,6,1,31,42.643646,1,0
3,.73578203,.7306301,6.0999999,3,.95028245,2,3,1,43,37.510437,0,0
3,.68382871,.36201695,.89999998,3,.87472969,3,8,3,36,41.946129,1,0
2,.81462687,.8188858,9.3999996,4,.50132811,5,4,3,40,53.769913,1,0
2,.6400677,.39704993,6.0999999,5,.45017034,4,9,1,39,41.060127,1,0
2,.61773109,.60525674,6.0999999,4,.43184847,5,10,1,37,38.270012,0,0
2,.59074324,.68686235,4.3000002,3,.63949335,6,9,1,41,34.729263,0,0
3,.81325036,.92619419,6.0999999,4,.65507442,3,7,2,45,43.99157,1,0
2,.7156769,.5108363,4.3000002,4,.43766546,6,7,1,38,36.358917,1,0
3,.48932603,.77503377,4.3000002,3,1.0825754,4,4,2,38,41.308868,1,0
3,.54422545,.25491723,2.2,4,.44783512,7,7,1,36,34.463104,0,0
2,.7612195,.23846641,4.3000002,5,.19410977,3,5,2,42,35.620926,1,1
3,.60109532,.58193982,6.0999999,4,.59798366,6,10,2,44,42.94342,1,0
3,.55878896,.82564968,6.0999999,4,1.0975382,4,4,1,29,38.824944,0,0
3,.87509036,.98246318,6.0999999,4,.62634587,5,6,2,43,47.02832,1,0
3,.58013445,.52388817,6.0999999,4,.83176714,4,6,2,49,39.88884,1,0
2,.78063309,.71376139,4.3000002,4,.52281827,4,6,1,32,34.583298,1,0
3,.88612825,.41357079,2.2,3,.5041213,3,9,3,40,35.362778,1,0
2,.58493936,.69355774,6.0999999,3,.66651708,6,9,1,38,35.443359,1,0
3,.75324261,.80821431,9.3999996,3,.92439246,5,5,3,42,56.133484,1,0
4,.66466796,.54344124,2.2,3,.82174248,2,5,1,40,35.599808,1,0
2,.56812978,.48419613,9.3999996,4,.72904503,4,5,4,45,43.149986,1,0
2,.69140339,.58103973,2.2,4,.42522782,6,7,1,33,48.609749,1,0
2,.6842072,.41928425,6.0999999,4,.6743387,5,8,2,34,38.826874,1,0
2,.61955035,.44308093,9.3999996,5,.18752909,7,9,1,34,29.340775,0,0
3,.87025058,.60868472,2.2,4,.69739145,3,6,1,36,35.043671,1,0
3,.54214281,.48457819,2.2,4,.80127954,3,7,1,40,29.146774,0,0
3,.77277112,.53768271,6.0999999,3,.759224,5,9,3,40,50.86763,1,0
2,.79888809,.75332052,4.3000002,3,.83345246,2,7,1,33,36.996384,0,0
2,.6186434,.45036191,6.0999999,4,.60949516,4,8,1,30,29.341476,0,0
3,.78609717,.41109344,4.3000002,3,.76821965,3,3,1,35,34.213791,1,0
4,.67566127,.53889108,9.3999996,3,.59198916,4,8,1,36,27.778137,0,0
4,.84503222,.58799291,2.2,2,.818398,4,7,3,34,46.321762,1,1
3,.67446685,.61911005,2.2,4,.69388443,5,7,3,32,42.898476,1,0
2,.59854609,.31157264,6.0999999,5,.45056438,6,8,2,42,41.073204,1,0
2,.79914677,.13091215,4.3000002,4,.30813587,6,8,2,40,47.244324,1,0
3,.83430535,.70123261,6.0999999,3,.7159521,5,9,2,42,41.705147,1,0
3,.7596947,.5510056,9.3999996,3,.66101307,4,5,1,30,32.669632,0,0
3,.67702579,.29795608,6.0999999,3,.42601278,6,9,1,33,36.358047,1,0
2,.62133712,.84230131,2.2,4,.59155792,4,7,1,37,35.485123,1,0
2,.75801808,.41356763,6.0999999,3,.58699375,3,7,4,44,51.507179,1,0
2,.71824467,.29721338,9.3999996,4,.18363552,5,11,1,42,34.224838,0,0
3,.85300273,.70728993,2.2,3,.6295768,4,10,5,44,76.849739,1,0
3,.59663069,.40955177,9.3999996,4,.24415466,7,10,1,39,39.035118,1,0
2,.78881347,.7631523,9.3999996,4,.65388507,5,7,1,40,41.960098,1,0
2,.6759302,.75326514,4.3000002,4,.53257489,7,7,1,34,39.603722,1,0
2,.69379014,.55611753,2.2,4,.79112691,5,4,2,49,41.465645,1,0
2,.77888739,.51108354,2.2,4,.73616743,3,8,3,38,48.948746,1,0
3,.69026923,.495226,9.3999996,4,.46184686,6,8,1,33,40.17382,1,0
3,.78328645,.50595868,4.3000002,3,.58831394,3,6,1,33,35.734161,0,0
3,.77212381,.50731331,4.3000002,3,.57943326,3,8,3,40,35.587189,1,0
3,.67087448,.34315714,2.2,3,.93795717,5,6,2,34,43.404869,1,1
2,.68061745,.76484513,6.0999999,4,.73580003,2,8,3,48,41.114616,1,0
3,.73812246,.76543635,9.3999996,4,.75117552,4,5,4,45,63.96405,1,0
2,.77669525,.84958249,6.0999999,4,.63385856,5,7,3,41,57.536499,1,0
2,.464302,.33068168,9.3999996,5,.66696709,7,7,1,34,30.552826,0,0
3,.72218108,.71296334,9.3999996,3,.58000296,5,9,1,39,45.240654,1,0
2,.67054045,.35328996,4.3000002,4,.47249743,4,9,2,39,41.380768,1,0
2,.7136904,.49613518,4.3000002,2,.68010628,4,6,3,42,46.830284,1,0
4,.5962984,.5817526,.89999998,2,.76044434,5,9,2,32,46.529892,1,0
2,.68174148,.35104749,6.0999999,4,.49212265,5,9,2,35,44.458794,1,0
2,.57406187,.75249171,6.0999999,5,.59520066,5,8,2,35,49.924606,1,0
3,.68624109,.67747968,4.3000002,4,.73424971,3,8,1,36,43.74855,1,0
3,.66461909,.35533178,9.3999996,4,.59990126,5,8,2,39,34.023819,0,0
2,.84558135,.71990764,2.2,3,.58455312,3,4,1,38,34.606171,0,0
2,.557212,.15519337,9.3999996,3,.58267647,5,6,3,41,40.737991,1,0
2,.68634522,.29643545,4.3000002,4,.38406619,5,7,1,33,39.950661,1,1
3,.55910236,.82208657,4.3000002,4,1.0342441,5,5,4,46,44.029465,1,0
3,.73262131,.48816803,6.0999999,4,.25503254,5,8,1,38,31.749878,0,0
3,.80710399,.41983527,2.2,4,.50625461,3,6,1,37,35.655228,0,1
4,.8506217,.51094902,4.3000002,2,.93771052,5,7,2,35,50.810242,1,0
3,.78184396,.8758567,9.3999996,1,.95834398,5,8,2,36,40.668892,1,0
